Código Departamento;Código Municipio;Código Centro Poblado;Nombre Departamento;Nombre Municipio;Nombre Centro Poblado;Tipo Centro Poblado;Longitud;Latitud;Tipo de Municipio
5;5001;5001032;ANTIOQUIA;MEDELLÍN;TRAVESIAS;CENTRO POBLADO (CP);-75,64217297;6,286503486;MUNICIPIO
5;5001;5001033;ANTIOQUIA;MEDELLÍN;URQUITA;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001035;ANTIOQUIA;MEDELLÍN;BOQUERÓN;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001039;ANTIOQUIA;MEDELLÍN;EL LLANO 1;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001040;ANTIOQUIA;MEDELLÍN;EL LLANO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001048;ANTIOQUIA;MEDELLÍN;LA VERDE;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001052;ANTIOQUIA;MEDELLÍN;MATASANO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001054;ANTIOQUIA;MEDELLÍN;MATASANO 2;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001055;ANTIOQUIA;MEDELLÍN;MAZO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001056;ANTIOQUIA;MEDELLÍN;MAZO 1;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001057;ANTIOQUIA;MEDELLÍN;MEDIA LUNA;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001066;ANTIOQUIA;MEDELLÍN;LAS CAMELIAS;CENTRO POBLADO (CP);-75,61147532;6,25768025;MUNICIPIO
5;5002;5002000;ANTIOQUIA;ABEJORRAL;ABEJORRAL;CABECERA MUNICIPAL (CM);-75,42892042;5,78953996;MUNICIPIO
5;5002;5002002;ANTIOQUIA;ABEJORRAL;PANTANILLO;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,49404412;5,729836756;MUNICIPIO
5;5002;5002004;ANTIOQUIA;ABEJORRAL;NARANJAL;CASERÍO (CAS);-75,43849827;5,803848951;MUNICIPIO
5;5002;5002016;ANTIOQUIA;ABEJORRAL;LAS CANOAS;CENTRO POBLADO (CP);-75,43848469;5,803901243;MUNICIPIO
5;5004;5004000;ANTIOQUIA;ABRIAQUÍ;ABRIAQUÍ;CABECERA MUNICIPAL (CM);-76,06315827;6,633956028;MUNICIPIO
5;5004;5004003;ANTIOQUIA;ABRIAQUÍ;POTREROS SECTOR 1;CASERÍO (CAS);-76,08520785;6,625234947;MUNICIPIO
5;5021;5021000;ANTIOQUIA;ALEJANDRÍA;ALEJANDRÍA;CABECERA MUNICIPAL (CM);-75,14309741;6,374473802;MUNICIPIO
5;5030;5030000;ANTIOQUIA;AMAGÁ;AMAGÁ;CABECERA MUNICIPAL (CM);-75,70176247;6,035833513;MUNICIPIO
5;5030;5030001;ANTIOQUIA;AMAGÁ;CAMILO C;CENTRO POBLADO (CP);-75,70216687;6,019440669;MUNICIPIO
5;5030;5030003;ANTIOQUIA;AMAGÁ;LA CLARITA;CENTRO POBLADO (CP);-75,6987427;6,067753389;MUNICIPIO
5;5030;5030004;ANTIOQUIA;AMAGÁ;LA FERREIRA;CASERÍO (CAS);-75,70766381;6,032651828;MUNICIPIO
5;5030;5030005;ANTIOQUIA;AMAGÁ;LA GUALÍ;CASERÍO (CAS);-75,70766381;6,032651828;MUNICIPIO
5;5030;5030006;ANTIOQUIA;AMAGÁ;PIEDECUESTA;CASERÍO (CAS);-75,70766381;6,032651828;MUNICIPIO
5;5030;5030011;ANTIOQUIA;AMAGÁ;MINAS;CENTRO POBLADO (CP);-75,70765528;6,032702809;MUNICIPIO
5;5030;5030012;ANTIOQUIA;AMAGÁ;CAMILO C - ALTO DE LA VIRGEN;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,70766381;6,032651828;MUNICIPIO
5;5030;5030013;ANTIOQUIA;AMAGÁ;PIEDECUESTA - MANI DE LAS CASAS;CASERÍO (CAS);-75,70766381;6,032651828;MUNICIPIO
5;5031;5031000;ANTIOQUIA;AMALFI;AMALFI;CABECERA MUNICIPAL (CM);-75,07314758;6,90887429;MUNICIPIO
5;5031;5031004;ANTIOQUIA;AMALFI;PORTACHUELO;CENTRO POBLADO (CP);-74,92670358;6,799908592;MUNICIPIO
5;5034;5034000;ANTIOQUIA;ANDES;ANDES;CABECERA MUNICIPAL (CM);-75,87925102;5,656884695;MUNICIPIO
5;5034;5034001;ANTIOQUIA;ANDES;BUENOS AIRES;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,83540051;5,682937179;MUNICIPIO
5;5034;5034003;ANTIOQUIA;ANDES;SAN JOSÉ;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,87038055;5,737094302;MUNICIPIO
5;5034;5034006;ANTIOQUIA;ANDES;SANTA RITA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,91659461;5,613359739;MUNICIPIO
5;5034;5034007;ANTIOQUIA;ANDES;TAPARTÓ;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,9632492;5,701161047;MUNICIPIO
5;5034;5034012;ANTIOQUIA;ANDES;SANTA INÉS;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,90077714;5,56347456;MUNICIPIO
5;5034;5034014;ANTIOQUIA;ANDES;SAN BARTOLO;CENTRO POBLADO (CP);-75,93703842;5,625301377;MUNICIPIO
5;5034;5034015;ANTIOQUIA;ANDES;LA CHAPARRALA-LA UNIÓN;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,93703842;5,625301377;MUNICIPIO
5;5036;5036000;ANTIOQUIA;ANGELÓPOLIS;ANGELÓPOLIS;CABECERA MUNICIPAL (CM);-75,70833078;6,111880338;MUNICIPIO
5;5036;5036001;ANTIOQUIA;ANGELÓPOLIS;LA ESTACIÓN;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,71622695;6,120709713;MUNICIPIO
5;5036;5036006;ANTIOQUIA;ANGELÓPOLIS;SANTA RITA;CASERÍO (CAS);-75,71623559;6,120658722;MUNICIPIO
5;5036;5036011;ANTIOQUIA;ANGELÓPOLIS;CIENAGUITA;CASERÍO (CAS);-75,71622695;6,120709713;MUNICIPIO
5;5038;5038000;ANTIOQUIA;ANGOSTURA;ANGOSTURA;CABECERA MUNICIPAL (CM);-75,33494799;6,885366193;MUNICIPIO
5;5038;5038008;ANTIOQUIA;ANGOSTURA;LLANOS DE CUIBA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,48263512;6,815648427;MUNICIPIO
5;5040;5040000;ANTIOQUIA;ANORÍ;ANORÍ;CABECERA MUNICIPAL (CM);-75,1483999;7,078008333;MUNICIPIO
5;5040;5040002;ANTIOQUIA;ANORÍ;LIBERIA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,10848926;7,193211606;MUNICIPIO
5;5040;5040003;ANTIOQUIA;ANORÍ;MONTEFRÍO;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,10848926;7,193211606;MUNICIPIO
5;5040;5040004;ANTIOQUIA;ANORÍ;SANTO DOMINGO;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,10848926;7,193211606;MUNICIPIO
5;5040;5040005;ANTIOQUIA;ANORÍ;CRISTALINAS;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,10848926;7,193211606;MUNICIPIO
5;5040;5040006;ANTIOQUIA;ANORÍ;LAS NIEVES;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,10848926;7,193211606;MUNICIPIO
5;5042;5042000;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;CABECERA MUNICIPAL (CM);-75,82723238;6,558268986;MUNICIPIO
5;5042;5042002;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;LAURELES;CASERÍO (CAS);-75,94885578;6,487625242;MUNICIPIO
5;5042;5042006;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;EL PESCADO;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,90284178;6,533135379;MUNICIPIO
5;5042;5042007;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;SABANAS;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,90284178;6,533135379;MUNICIPIO
5;5042;5042008;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;KILOMETRO 2;CASERÍO (CAS);-75,90284905;6,533079962;MUNICIPIO
5;5042;5042009;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;PASO REAL;CASERÍO (CAS);-75,90284905;6,533079962;MUNICIPIO
5;5044;5044000;ANTIOQUIA;ANZÁ;ANZÁ;CABECERA MUNICIPAL (CM);-75,85371333;6,302230468;MUNICIPIO
5;5044;5044001;ANTIOQUIA;ANZÁ;GUINTAR;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,95811683;6,302406143;MUNICIPIO
5;5044;5044005;ANTIOQUIA;ANZÁ;LA CEJITA;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,9165666;6,294939296;MUNICIPIO
5;5044;5044006;ANTIOQUIA;ANZÁ;LA HIGUINA;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,9165666;6,294939296;MUNICIPIO
5;5045;5045000;ANTIOQUIA;APARTADÓ;APARTADÓ;CABECERA MUNICIPAL (CM);-76,62618597;7,882716696;MUNICIPIO
5;5045;5045001;ANTIOQUIA;APARTADÓ;SAN JOSÉ DE APARTADÓ;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,58414114;7,864771163;MUNICIPIO
5;5045;5045002;ANTIOQUIA;APARTADÓ;CHURIDÓ;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,66559145;7,866525933;MUNICIPIO
5;5045;5045003;ANTIOQUIA;APARTADÓ;ZUNGO CARRETERA;CENTRO POBLADO (CP);-76,64835487;7,825100274;MUNICIPIO
5;5045;5045007;ANTIOQUIA;APARTADÓ;LOS NARANJALES;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,71293366;7,819458991;MUNICIPIO
5;5045;5045008;ANTIOQUIA;APARTADÓ;VIJAGUAL;CENTRO POBLADO (CP);-76,65597045;7,789170376;MUNICIPIO
5;5045;5045009;ANTIOQUIA;APARTADÓ;EL REPOSO;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,65334716;7,799640771;MUNICIPIO
5;5045;5045010;ANTIOQUIA;APARTADÓ;BAJO DEL OSO;CENTRO POBLADO (CP);-76,56582291;7,895930822;MUNICIPIO
5;5045;5045011;ANTIOQUIA;APARTADÓ;EL SALVADOR;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,65011363;7,875714182;MUNICIPIO
5;5045;5045014;ANTIOQUIA;APARTADÓ;PUERTO GIRON;CENTRO POBLADO (CP);-76,73746467;7,905443776;MUNICIPIO
5;5045;5045015;ANTIOQUIA;APARTADÓ;LOMA VERDE;CENTRO POBLADO (CP);-76,56582291;7,895930822;MUNICIPIO
5;5045;5045016;ANTIOQUIA;APARTADÓ;SAN PABLO;CENTRO POBLADO (CP);-76,56582291;7,895930822;MUNICIPIO
5;5051;5051000;ANTIOQUIA;ARBOLETES;ARBOLETES;CABECERA MUNICIPAL (CM);-76,4266804;8,850006266;MUNICIPIO
5;5051;5051001;ANTIOQUIA;ARBOLETES;BUENOS AIRES;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,28320763;8,611486679;MUNICIPIO
5;5051;5051003;ANTIOQUIA;ARBOLETES;EL CARMELO;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,38185493;8,616209977;MUNICIPIO
5;5051;5051005;ANTIOQUIA;ARBOLETES;LAS NARANJITAS;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,3328056;8,528517199;MUNICIPIO
5;5051;5051008;ANTIOQUIA;ARBOLETES;EL YESO;CASERÍO (CAS);-76,47628512;8,616734764;MUNICIPIO
5;5051;5051009;ANTIOQUIA;ARBOLETES;LA TRINIDAD;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,51146048;8,625077056;MUNICIPIO
5;5051;5051010;ANTIOQUIA;ARBOLETES;LAS PLATAS (SANTAFÉ);CABECERA INSPECCIÓN DE POLICÍA (IP);-76,44101043;8,58131204;MUNICIPIO
5;5051;5051011;ANTIOQUIA;ARBOLETES;LA CANDELARIA;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,4533727;8,657917946;MUNICIPIO
5;5051;5051014;ANTIOQUIA;ARBOLETES;EL GUADUAL;CASERÍO (CAS);-76,38451908;8,486566767;MUNICIPIO
5;5055;5055000;ANTIOQUIA;ARGELIA;ARGELIA;CABECERA MUNICIPAL (CM);-75,13919443;5,730367748;MUNICIPIO
5;5059;5059000;ANTIOQUIA;ARMENIA;ARMENIA;CABECERA MUNICIPAL (CM);-75,78656046;6,155819195;MUNICIPIO
5;5059;5059001;ANTIOQUIA;ARMENIA;LA HERRADURA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,80680228;6,146070011;MUNICIPIO
5;5059;5059003;ANTIOQUIA;ARMENIA;EL SOCORRO;CASERÍO (CAS);-75,80995709;6,163703509;MUNICIPIO
5;5059;5059006;ANTIOQUIA;ARMENIA;FILO SECO;CENTRO POBLADO (CP);-75,80995709;6,163703509;MUNICIPIO
5;5059;5059009;ANTIOQUIA;ARMENIA;PALMICHAL;CENTRO POBLADO (CP);-75,80995709;6,163703509;MUNICIPIO
5;5079;5079000;ANTIOQUIA;BARBOSA;BARBOSA;CABECERA MUNICIPAL (CM);-75,33381905;6,437988662;MUNICIPIO
5;5079;5079001;ANTIOQUIA;BARBOSA;HATILLO;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,39425053;6,411037004;MUNICIPIO
5;5079;5079005;ANTIOQUIA;BARBOSA;PLATANITO;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079008;ANTIOQUIA;BARBOSA;IZASA;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079014;ANTIOQUIA;BARBOSA;POPALITO;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,32984495;6,442981167;MUNICIPIO
5;5079;5079016;ANTIOQUIA;BARBOSA;YARUMITO;CENTRO POBLADO (CP);-75,32984495;6,442981167;MUNICIPIO
5;5079;5079017;ANTIOQUIA;BARBOSA;TABLAZO HATILLO;CENTRO POBLADO (CP);-75,32984495;6,442981167;MUNICIPIO
5;5079;5079018;ANTIOQUIA;BARBOSA;EL PARAISO;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079019;ANTIOQUIA;BARBOSA;EL SALADITO;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079020;ANTIOQUIA;BARBOSA;LOMITA 1;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079021;ANTIOQUIA;BARBOSA;LOMITA 2;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079022;ANTIOQUIA;BARBOSA;PRIMAVERA;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5079;5079023;ANTIOQUIA;BARBOSA;TAMBORCITO;CENTRO POBLADO (CP);-75,32985698;6,442930267;MUNICIPIO
5;5086;5086000;ANTIOQUIA;BELMIRA;BELMIRA;CABECERA MUNICIPAL (CM);-75,66821486;6,606175944;MUNICIPIO
5;5086;5086001;ANTIOQUIA;BELMIRA;LABORES;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,61223197;6,709400756;MUNICIPIO
5;5086;5086003;ANTIOQUIA;BELMIRA;RÍO ARRIBA;CENTRO POBLADO (CP);-75,65369102;6,65435944;MUNICIPIO
5;5088;5088000;ANTIOQUIA;BELLO;BELLO;CABECERA MUNICIPAL (CM);-75,55444758;6,333785562;MUNICIPIO
5;5088;5088008;ANTIOQUIA;BELLO;POTRERITO;CASERÍO (CAS);-75,58791823;6,356928124;MUNICIPIO
5;5088;5088013;ANTIOQUIA;BELLO;SAN FÉLIX;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,60862951;6,340215559;MUNICIPIO
5;5088;5088018;ANTIOQUIA;BELLO;EL PINAR;CENTRO POBLADO (CP);-75,53283834;6,302764103;MUNICIPIO
5;5088;5088020;ANTIOQUIA;BELLO;EL ALBERGUE;CENTRO POBLADO (CP);-75,5373308;6,307397966;MUNICIPIO
5;5088;5088022;ANTIOQUIA;BELLO;LA CHINA;CENTRO POBLADO (CP);-75,58790966;6,356979252;MUNICIPIO
5;5088;5088023;ANTIOQUIA;BELLO;LA UNIÓN;CENTRO POBLADO (CP);-75,58790966;6,356979252;MUNICIPIO
5;5091;5091000;ANTIOQUIA;BETANIA;BETANIA;CABECERA MUNICIPAL (CM);-75,98176937;5,749214258;MUNICIPIO
5;5091;5091003;ANTIOQUIA;BETANIA;SAN LUIS;CENTRO POBLADO (CP);-75,9859643;5,727880493;MUNICIPIO
5;5093;5093000;ANTIOQUIA;BETULIA;BETULIA;CABECERA MUNICIPAL (CM);-75,98419075;6,109099807;MUNICIPIO
5;5093;5093001;ANTIOQUIA;BETULIA;ALTAMIRA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,95197931;6,22065743;MUNICIPIO
5;5101;5101000;ANTIOQUIA;CIUDAD BOLÍVAR;CIUDAD BOLÍVAR;CABECERA MUNICIPAL (CM);-76,01332281;5,846517001;MUNICIPIO
5;5101;5101002;ANTIOQUIA;CIUDAD BOLÍVAR;SAN BERNARDO DE LOS FARALLONES;CABECERA CORREGIMIENTO MUNICIPAL (C);-76,02917461;5,801732347;MUNICIPIO
5;5101;5101006;ANTIOQUIA;CIUDAD BOLÍVAR;ALFONSO LÓPEZ (SAN GREGORIO);CABECERA CORREGIMIENTO MUNICIPAL (C);-75,97214593;5,8993791;MUNICIPIO
5;5101;5101008;ANTIOQUIA;CIUDAD BOLÍVAR;VILLA ALEGRÍA;CENTRO POBLADO (CP);-76,01343361;5,785271641;MUNICIPIO
5;5101;5101010;ANTIOQUIA;CIUDAD BOLÍVAR;EL CABRERO-BOLÍVAR ARRIBA;CENTRO POBLADO (CP);-76,01089178;5,839399755;MUNICIPIO
5;5107;5107000;ANTIOQUIA;BRICEÑO;BRICEÑO;CABECERA MUNICIPAL (CM);-75,55066038;7,112790536;MUNICIPIO
5;5107;5107001;ANTIOQUIA;BRICEÑO;BERLÍN (PUEBLO NUEVO);CABECERA CORREGIMIENTO MUNICIPAL (C);-75,563537;7,110873877;MUNICIPIO
5;5107;5107002;ANTIOQUIA;BRICEÑO;EL ROBLAL;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,563537;7,110873877;MUNICIPIO
5;5107;5107003;ANTIOQUIA;BRICEÑO;LAS AURAS;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,51521671;7,193789384;MUNICIPIO
5;5107;5107004;ANTIOQUIA;BRICEÑO;TRAVESIAS;CASERÍO (CAS);-75,56354817;7,110818257;MUNICIPIO
5;5113;5113000;ANTIOQUIA;BURITICÁ;BURITICÁ;CABECERA MUNICIPAL (CM);-75,90626411;6,719884219;MUNICIPIO
5;5113;5113001;ANTIOQUIA;BURITICÁ;EL NARANJO;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,91252582;6,809983405;MUNICIPIO
5;5113;5113002;ANTIOQUIA;BURITICÁ;GUARCO;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,91252582;6,809983405;MUNICIPIO
5;5113;5113003;ANTIOQUIA;BURITICÁ;TABACAL;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,91456481;6,804901483;MUNICIPIO
5;5113;5113004;ANTIOQUIA;BURITICÁ;URARCO;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,91252582;6,809983405;MUNICIPIO
5;5113;5113005;ANTIOQUIA;BURITICÁ;LA ANGELINA;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,91252582;6,809983405;MUNICIPIO
5;5113;5113008;ANTIOQUIA;BURITICÁ;LA MARIELA;CASERÍO (CAS);-75,9125299;6,809921772;MUNICIPIO
5;5120;5120000;ANTIOQUIA;CÁCERES;CÁCERES;CABECERA MUNICIPAL (CM);-75,35298017;7,575065193;MUNICIPIO
5;5120;5120002;ANTIOQUIA;CÁCERES;EL JARDÍN (TAMANÁ);CABECERA CORREGIMIENTO MUNICIPAL (C);-75,25496025;7,752369575;MUNICIPIO
5;5120;5120003;ANTIOQUIA;CÁCERES;GUARUMO;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,2079794;7,854988684;MUNICIPIO
5;5120;5120004;ANTIOQUIA;CÁCERES;MANIZALES;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,41448785;7,836209084;MUNICIPIO
5;5120;5120006;ANTIOQUIA;CÁCERES;PUERTO BÉLGICA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,28344935;7,666089994;MUNICIPIO
5;5120;5120010;ANTIOQUIA;CÁCERES;PIAMONTE;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,20363011;7,786819803;MUNICIPIO
5;5120;5120012;ANTIOQUIA;CÁCERES;RÍO MAN;CASERÍO (CAS);-75,20806153;7,944507485;MUNICIPIO
5;5120;5120013;ANTIOQUIA;CÁCERES;LAS PAMPAS;CASERÍO (CAS);-75,22626677;7,669465381;MUNICIPIO
5;5120;5120014;ANTIOQUIA;CÁCERES;NICARAGUA;CASERÍO (CAS);-75,22626677;7,669465381;MUNICIPIO
5;5120;5120015;ANTIOQUIA;CÁCERES;PUERTO SANTO;CASERÍO (CAS);-75,22626677;7,669465381;MUNICIPIO
5;5125;5125000;ANTIOQUIA;CAICEDO;CAICEDO;CABECERA MUNICIPAL (CM);-75,98415335;6,40578759;MUNICIPIO
5;5129;5129000;ANTIOQUIA;CALDAS;CALDAS;CABECERA MUNICIPAL (CM);-75,6344938;6,091577846;MUNICIPIO
5;5129;5129001;ANTIOQUIA;CALDAS;EL CAÑO;CENTRO POBLADO (CP);-75,63989308;6,107503719;MUNICIPIO
5;5129;5129002;ANTIOQUIA;CALDAS;LA RAYA;CENTRO POBLADO (CP);-75,63977705;6,111045517;MUNICIPIO
5;5129;5129004;ANTIOQUIA;CALDAS;LA MIEL;CENTRO POBLADO (CP);-75,62289204;6,102648425;MUNICIPIO
5;5129;5129005;ANTIOQUIA;CALDAS;LA CORRALA;CENTRO POBLADO (CP);-75,625969;6,087445939;MUNICIPIO
5;5129;5129006;ANTIOQUIA;CALDAS;PRIMAVERA  SANTA CRUZ;CENTRO POBLADO (CP);-75,63618451;6,068292842;MUNICIPIO
5;5129;5129007;ANTIOQUIA;CALDAS;EL RAIZAL;CENTRO POBLADO (CP);-75,64477464;6,08793627;MUNICIPIO
5;5129;5129008;ANTIOQUIA;CALDAS;LA CLARA;CENTRO POBLADO (CP);-75,62005428;6,048543508;MUNICIPIO
5;5129;5129009;ANTIOQUIA;CALDAS;LA QUIEBRA;CENTRO POBLADO (CP);-75,64767226;6,061271064;MUNICIPIO
5;5129;5129010;ANTIOQUIA;CALDAS;LA SALADA PARTE BAJA;CENTRO POBLADO (CP);-75,62541253;6,045868575;MUNICIPIO
5;5129;5129011;ANTIOQUIA;CALDAS;LA TOLVA;CENTRO POBLADO (CP);-75,64161039;6,059231196;MUNICIPIO
5;5129;5129012;ANTIOQUIA;CALDAS;LA VALERIA;CENTRO POBLADO (CP);-75,64910484;6,093218558;MUNICIPIO
5;5129;5129013;ANTIOQUIA;CALDAS;LA AGUACATALA;CENTRO POBLADO (CP);-75,62664502;6,053961092;MUNICIPIO
5;5129;5129014;ANTIOQUIA;CALDAS;LA CORRALITA;CENTRO POBLADO (CP);-75,62664502;6,053961092;MUNICIPIO
5;5129;5129015;ANTIOQUIA;CALDAS;LA CHUSCALA;CENTRO POBLADO (CP);-75,62664502;6,053961092;MUNICIPIO
5;5129;5129016;ANTIOQUIA;CALDAS;SALINAS;CENTRO POBLADO (CP);-75,62664502;6,053961092;MUNICIPIO
5;5134;5134000;ANTIOQUIA;CAMPAMENTO;CAMPAMENTO;CABECERA MUNICIPAL (CM);-75,29533344;6,97898982;MUNICIPIO
5;5134;5134001;ANTIOQUIA;CAMPAMENTO;LA CHIQUITA;CABECERA INSPECCIÓN DE POLICÍA (IP);-75,28936645;7,038992749;MUNICIPIO
5;5134;5134002;ANTIOQUIA;CAMPAMENTO;LA SOLITA;CASERÍO (CAS);-75,28936645;7,038992749;MUNICIPIO
5;5134;5134003;ANTIOQUIA;CAMPAMENTO;LLANADAS;CASERÍO (CAS);-75,28936645;7,038992749;MUNICIPIO
